date,pm25,pm10,o3,no2,so2
2/25/2016,38,12,23,25,6
2/26/2016,37,7,33,17,5
2/27/2016,22,7,32,18,8
2/28/2016,22,14,36,26,10
2/29/2016,37,27,29,42,9
3/1/2016,59,25,32,36,9
3/2/2016,54,17,37,27,8
3/3/2016,40,25,28,35,7
3/4/2016,59,10,34,18,4
3/5/2016,28,8,34,18,5
3/6/2016,25,9,34,20,10
3/7/2016,27,9,35,21,9
3/8/2016,24,16,34,31,8
3/9/2016,40,11,35,19,9
3/10/2016,25,10,36,21,9
3/11/2016,28,17,32,25,8
3/12/2016,50,20,39,23,8
3/13/2016,57,24,41,24,8
3/14/2016,64,24,35,27,8
3/15/2016,61,34,41,41,9
3/16/2016,73,26,34,36,8
3/17/2016,62,23,36,28,7
3/18/2016,57,13,30,18,6
3/19/2016,43,12,30,20,7
3/20/2016,41,12,30,25,8
3/21/2016,40,12,33,23,7
3/22/2016,37,20,36,27,8
3/23/2016,57,19,36,21,6
3/24/2016,58,22,37,29,8
3/25/2016,60,23,22,21,6
3/26/2016,63,9,34,11,5
3/27/2016,24,15,26,20,6
3/28/2016,34,18,33,25,6
3/29/2016,41,24,41,36,6
3/30/2016,54,13,34,24,8
3/31/2016,31,9,38,18,8
4/1/2016,25,15,42,21,7
4/2/2016,40,17,34,22,5
4/3/2016,46,13,27,27,5
4/4/2016,40,12,38,21,8
4/5/2016,36,11,39,23,8
4/6/2016,34,14,35,26,7
4/7/2016,39,9,37,18,7
4/8/2016,24,14,37,22,6
4/9/2016,36,13,35,15,5
4/10/2016,34,13,30,20,5
4/11/2016,32,12,32,24,5
4/12/2016,40,12,34,23,5
4/13/2016,38,18,32,27,6
4/14/2016,53,21,32,30,6
4/15/2016,55,10,26,19,6
4/16/2016,36,9,37,18,4
4/17/2016,24,13,39,22,6
4/18/2016,38,17,31,26,5
4/19/2016,47,13,27,29,7
4/20/2016,45,12,36,23,6
4/21/2016,32,16,32,30,6
4/22/2016,43,18,32,27,8
4/23/2016,50,9,37,18,7
4/24/2016,27,13,37,23,6
4/25/2016,39,17,39,31,8
4/26/2016,47,23,38,33,7
4/27/2016,54,12,35,21,5
4/28/2016,38,15,30,22,6
